SymInit: Symbol-SearchPath: '.', symOptions: 530, UserName: 'dna11'
OS-Version: 10.0.22621 () 0x100-0x1
M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.exe:pcsx2-qtx64-avx2-dbg.exe (00007FF6874D0000), size: 387198976 (result: 0), SymType: 'PDB', PDB: 'M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.pdb', fileVersion: 1.7.0.0
C:\Windows\System32\MSCTF.dll:MSCTF.dll (00007FFCDD520000), size: 1208320 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\MSCTF.dll', fileVersion: 10.0.22621.1928
C:\Windows\System32\clbcatq.dll:clbcatq.dll (00007FFCDC600000), size: 720896 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\clbcatq.dll', fileVersion: 2001.12.10941.16384
C:\Windows\System32\Windows.UI.dll:Windows.UI.dll (00007FFCCC950000), size: 1523712 (result: 0), SymType: '-nosymbols-', PDB: 'C:\Windows\System32\Windows.UI.dll', fileVersion: 10.0.22621.1928
C:\Windows\System32\Windows.UI.Immersive.dll:Windows.UI.Immersive.dll (00007FFCC0FA0000), size: 1527808 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\Windows.UI.Immersive.dll', fileVersion: 10.0.22621.1635
M:\VS\pcsx2-emuinterop\bin\QtPlugins\styles\qwindowsvistastyled.dll:qwindowsvistastyled.dll (00007FFC018C0000), size: 421888 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\styles\qwindowsvistastyled.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qgifd.dll:qgifd.dll (00007FFC02560000), size: 163840 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qgifd.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qicnsd.dll:qicnsd.dll (00007FFC02530000), size: 188416 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qicnsd.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qicod.dll:qicod.dll (00007FFC01EF0000), size: 167936 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qicod.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qjpegd.dll:qjpegd.dll (00007FFBF8810000), size: 1077248 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qjpegd.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qsvgd.dll:qsvgd.dll (00007FFC10750000), size: 126976 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qsvgd.dll', fileVersion: 6.5.0.0
